2026-01-04 07:51:59,125 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-04 07:51:59,126 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-04 07:51:59,127 | INFO | src.screener.excel_screener | Excel screener initialized: MiniRobo.xlsx
2026-01-04 07:52:02,244 | INFO | src.screener.excel_screener | Loaded 100 enabled stocks from universe
2026-01-04 07:52:03,017 | INFO | src.core.warmup_manager | WarmupManager initialized for 10 symbols with 60 days lookback
2026-01-04 07:52:03,017 | INFO | src.core.warmup_manager | 🔥 Starting system warmup sequence...
2026-01-04 07:52:03,018 | INFO | src.core.warmup_manager |   🔄 Executing: load_market_data
2026-01-04 07:52:04,269 | ERROR | yfinance | $HDFCBANK: possibly delisted; no timezone found
2026-01-04 07:52:04,270 | WARNING | src.core.warmup_manager | Insufficient data for HDFCBANK: 0 days
2026-01-04 07:52:05,095 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ICICIBANK"}}}
2026-01-04 07:52:05,241 | ERROR | yfinance | $ICICIBANK: possibly delisted; no timezone found
2026-01-04 07:52:05,242 | WARNING | src.core.warmup_manager | Insufficient data for ICICIBANK: 0 days
2026-01-04 07:52:05,700 | ERROR | yfinance | $KOTAKBANK: possibly delisted; no timezone found
2026-01-04 07:52:05,700 | WARNING | src.core.warmup_manager | Insufficient data for KOTAKBANK: 0 days
2026-01-04 07:52:06,115 | ERROR | yfinance | $AXISBANK: possibly delisted; no timezone found
2026-01-04 07:52:06,123 | WARNING | src.core.warmup_manager | Insufficient data for AXISBANK: 0 days
2026-01-04 07:52:06,558 | ERROR | yfinance | $SBIN: possibly delisted; no timezone found
2026-01-04 07:52:06,559 | WARNING | src.core.warmup_manager | Insufficient data for SBIN: 0 days
2026-01-04 07:52:07,153 | ERROR | yfinance | $TCS: possibly delisted; no timezone found
2026-01-04 07:52:07,154 | WARNING | src.core.warmup_manager | Insufficient data for TCS: 0 days
2026-01-04 07:52:16,979 | ERROR | yfinance | $HCLTECH: possibly delisted; no timezone found
2026-01-04 07:52:16,979 | WARNING | src.core.warmup_manager | Insufficient data for HCLTECH: 0 days
2026-01-04 07:52:17,397 | ERROR | yfinance | $WIPRO: possibly delisted; no timezone found
2026-01-04 07:52:17,397 | WARNING | src.core.warmup_manager | Insufficient data for WIPRO: 0 days
2026-01-04 07:52:17,785 | ERROR | yfinance | $TECHM: possibly delisted; no timezone found
2026-01-04 07:52:17,786 | WARNING | src.core.warmup_manager | Insufficient data for TECHM: 0 days
2026-01-04 07:52:17,787 | INFO | src.core.warmup_manager | Market data loaded: 1/10 symbols, 40 total data points
2026-01-04 07:52:17,787 | INFO | src.core.warmup_manager |   ✅ Completed: load_market_data (14.77s, 40 data points)
2026-01-04 07:52:17,787 | INFO | src.core.warmup_manager |   🔄 Executing: calculate_indicators
2026-01-04 07:52:17,852 | INFO | src.core.warmup_manager | Technical indicators calculated: 13 total indicators
2026-01-04 07:52:17,853 | INFO | src.core.warmup_manager |   ✅ Completed: calculate_indicators (0.07s, 13 data points)
2026-01-04 07:52:17,854 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_timing
2026-01-04 07:52:27,036 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 07:52:27,036 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 07:52:27,036 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 07:52:27,037 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 07:52:27,037 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 07:52:27,037 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 07:52:27,037 | INFO | src.timing.market_regime | Unified MarketRegimeManager initialized
2026-01-04 07:52:27,546 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 07:52:27,551 | INFO | src.timing.market_regime | [MARKET REGIME] SIDEWAYS | confidence=0.50 | volatility=NORMAL
2026-01-04 07:52:27,552 | INFO | src.core.warmup_manager | Timing components warmed up - Current regime: (<MarketRegime.SIDEWAYS: 'SIDEWAYS'>, 0.5)
2026-01-04 07:52:27,552 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_timing (9.70s, 1 data points)
2026-01-04 07:52:27,552 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_regime
2026-01-04 07:52:27,554 | INFO | src.core.warmup_manager | Market regime detection warmed up for 1 symbols
2026-01-04 07:52:27,556 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_regime (0.00s, 1 data points)
2026-01-04 07:52:27,557 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_strategies
2026-01-04 07:52:27,557 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 07:52:27,557 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 07:52:27,557 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 07:52:27,558 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 07:52:27,558 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 07:52:27,558 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 07:52:27,558 | INFO | src.core.regime_weighting | Regime-aware strategy weighting system initialized
2026-01-04 07:52:27,559 | INFO | src.strategies.gap_trading | Gap trading strategy initialized
2026-01-04 07:52:27,559 | INFO | src.strategies.momentum_adaptive | Momentum adaptive strategy initialized
2026-01-04 07:52:27,559 | INFO | src.strategies.volatility_regime | Volatility regime strategy initialized
2026-01-04 07:52:27,559 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 07:52:27,560 | INFO | src.strategies.correlation_sync | Correlation sync strategy initialized with reactive confidence management
2026-01-04 07:52:27,560 | INFO | src.strategies.adaptive_manager | Adaptive strategy manager initialized with regime-aware weighting in AUTO mode
2026-01-04 07:52:28,259 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 07:52:28,506 | INFO | src.core.regime_weighting | Market regime change: None → MarketRegime.VOLATILE_NEUTRAL
2026-01-04 07:52:28,507 | WARNING | src.core.regime_weighting | Regime change to MarketRegime.VOLATILE_NEUTRAL - invalidating confidence
2026-01-04 07:52:28,508 | INFO | src.core.regime_weighting | Significant weight change - Session: PRE_MARKET, Regime: VOLATILE_NEUTRAL
2026-01-04 07:52:28,508 | INFO | src.core.regime_weighting |   gap_trading: 0.17 (base: 0.25)
2026-01-04 07:52:28,508 | INFO | src.core.regime_weighting |   momentum_adaptive: 0.19 (base: 0.25)
2026-01-04 07:52:28,508 | INFO | src.core.regime_weighting |   volatility_regime: 0.52 (base: 0.25)
2026-01-04 07:52:28,509 | INFO | src.core.regime_weighting |   correlation_sync: 0.12 (base: 0.25)
2026-01-04 07:52:28,509 | INFO | src.strategies.adaptive_manager | Evaluating INFY with strategies: ['gap_trading', 'momentum_adaptive', 'volatility_regime', 'correlation_sync'] | Weights: {'gap_trading': 0.16666666666666666, 'momentum_adaptive': 0.18750000000000003, 'volatility_regime': 0.5208333333333334, 'correlation_sync': 0.125}
2026-01-04 07:52:28,601 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 07:52:29,049 | WARNING | src.core.warmup_manager | Strategy warmup failed for INFY: 'StrategyDecision' object has no attribute 'confidence'
2026-01-04 07:52:29,050 | INFO | src.core.warmup_manager | Strategy managers warmed up for 1 symbols
2026-01-04 07:52:29,050 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_strategies (1.49s, 1 data points)
2026-01-04 07:52:29,051 | INFO | src.core.warmup_manager |   🔄 Executing: validate_warmup
2026-01-04 07:52:29,051 | ERROR | src.core.warmup_manager | Warmup validation failed: Only 1/10 symbols warmed
2026-01-04 07:52:29,051 | ERROR | src.core.warmup_manager |   ❌ Failed: validate_warmup (0.00s) - Only 1/10 symbols warmed
2026-01-04 07:52:29,052 | ERROR | src.core.warmup_manager | ❌ Warmup FAILED with 1 task failures
2026-01-04 07:52:29,052 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 07:52:29,052 | INFO | src.core.warmup_manager | WARMUP SUMMARY
2026-01-04 07:52:29,052 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 07:52:29,053 | INFO | src.core.warmup_manager | Status: FAILED
2026-01-04 07:52:29,053 | INFO | src.core.warmup_manager | Duration: 26.03 seconds
2026-01-04 07:52:29,053 | INFO | src.core.warmup_manager | Symbols warmed: 1/10
2026-01-04 07:52:29,054 | INFO | src.core.warmup_manager | Tasks completed: 5/6
2026-01-04 07:52:29,054 | INFO | src.core.warmup_manager | Failed tasks: 1
2026-01-04 07:52:29,054 | ERROR | src.core.warmup_manager |   - validate_warmup: Only 1/10 symbols warmed
2026-01-04 07:52:29,054 | INFO | src.core.warmup_manager | Indicator Status:
2026-01-04 07:52:29,055 | INFO | src.core.warmup_manager |   ❌ SMA_20
2026-01-04 07:52:29,055 | INFO | src.core.warmup_manager |   ❌ SMA_50
2026-01-04 07:52:29,055 | INFO | src.core.warmup_manager |   ❌ EMA_12
2026-01-04 07:52:29,055 | INFO | src.core.warmup_manager |   ❌ EMA_26
2026-01-04 07:52:29,056 | INFO | src.core.warmup_manager |   ❌ RSI_14
2026-01-04 07:52:29,056 | INFO | src.core.warmup_manager |   ❌ MACD
2026-01-04 07:52:29,056 | INFO | src.core.warmup_manager |   ❌ ATR_14
2026-01-04 07:52:29,057 | INFO | src.core.warmup_manager |   ❌ BOLLINGER_BANDS
2026-01-04 07:52:29,057 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 07:52:29,058 | INFO | src.utils.sector_manager | Sector manager initialized
2026-01-04 07:52:29,058 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-04 07:52:29,059 | INFO | src.core.risk_governor | Added risk rule: EmergencyStop (priority: 5)
2026-01-04 07:52:29,059 | INFO | src.core.risk_governor | Added risk rule: MarketHours (priority: 10)
2026-01-04 07:52:29,059 | INFO | src.core.risk_governor | Added risk rule: DailyLossLimit (priority: 15)
2026-01-04 07:52:29,060 | INFO | src.core.risk_governor | Added risk rule: VolatilityAdjustment (priority: 25)
2026-01-04 07:52:29,060 | INFO | src.core.risk_governor | Risk Governor initialized with 4 risk rules
2026-01-04 07:52:29,060 | INFO | src.core.warmup_manager | WarmupManager initialized for 100 symbols with 60 days lookback
2026-01-04 07:52:29,061 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 07:52:29,061 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 07:52:29,061 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 07:52:29,062 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 07:52:29,062 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 07:52:29,062 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 07:52:29,062 | INFO | src.core.regime_weighting | Regime-aware strategy weighting system initialized
2026-01-04 07:52:29,063 | INFO | src.strategies.gap_trading | Gap trading strategy initialized
2026-01-04 07:52:29,063 | INFO | src.strategies.momentum_adaptive | Momentum adaptive strategy initialized
2026-01-04 07:52:29,063 | INFO | src.strategies.volatility_regime | Volatility regime strategy initialized
2026-01-04 07:52:29,063 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 07:52:29,064 | INFO | src.strategies.correlation_sync | Correlation sync strategy initialized with reactive confidence management
2026-01-04 07:52:29,064 | INFO | src.strategies.adaptive_manager | Adaptive strategy manager initialized with regime-aware weighting in AUTO mode
2026-01-04 07:52:29,064 | INFO | src.core.engine | Adaptive strategies initialized successfully
2026-01-04 07:52:29,064 | INFO | src.core.engine | Trading engine initialized with timing intelligence disabled
2026-01-04 07:52:29,064 | INFO | src.core.engine | Trading engine initialized with enhanced risk management
2026-01-04 07:52:29,066 | INFO | src.execution.adapter | Initialized PAPER execution adapter
2026-01-04 07:52:29,067 | INFO | src.broker.zerodha | ZerodhaBroker initialized in PAPER mode
2026-01-04 07:52:29,067 | INFO | src.broker.zerodha | Paper trading: No real connection required
2026-01-04 07:52:29,068 | INFO | src.execution.paper | Paper trading initialized
2026-01-04 07:52:29,068 | INFO | src.execution.paper | Paper trading mode initialized
2026-01-04 07:52:29,075 | INFO | src.core.system_arming | Added kill switch: emergency_file (Critical)
2026-01-04 07:52:29,075 | INFO | src.core.system_arming | Added kill switch: daily_loss_limit (Critical)
2026-01-04 07:52:29,076 | INFO | src.core.system_arming | Added kill switch: capital_availability (Critical)
2026-01-04 07:52:29,076 | INFO | src.core.system_arming | Added kill switch: market_hours (Non-critical)
2026-01-04 07:52:29,076 | INFO | src.core.system_arming | Added kill switch: system_health (Critical)
2026-01-04 07:52:29,076 | INFO | src.core.system_arming | Added kill switch: config_integrity (Critical)
2026-01-04 07:52:29,077 | INFO | src.core.system_arming | Added kill switch: state_integrity (Critical)
2026-01-04 07:52:29,077 | INFO | src.core.system_arming | System Arming initialized with 7 kill switches
2026-01-04 07:52:29,077 | INFO | src.core.system_arming | Starting system arming sequence...
2026-01-04 07:52:29,078 | ERROR | src.core.system_arming | Capital availability check failed: 'CapitalParameters' object has no attribute 'max_position_value'
2026-01-04 07:52:29,078 | ERROR | src.core.system_arming | Critical safety check failed: capital_availability
2026-01-04 08:04:21,372 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-04 08:04:21,373 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-04 08:04:21,374 | INFO | src.screener.excel_screener | Excel screener initialized: MiniRobo.xlsx
2026-01-04 08:04:24,839 | INFO | src.screener.excel_screener | Loaded 100 enabled stocks from universe
2026-01-04 08:04:25,551 | INFO | src.core.warmup_manager | WarmupManager initialized for 10 symbols with 60 days lookback
2026-01-04 08:04:25,551 | INFO | src.core.warmup_manager | 🔥 Starting system warmup sequence...
2026-01-04 08:04:25,552 | INFO | src.core.warmup_manager |   🔄 Executing: load_market_data
2026-01-04 08:04:26,745 | ERROR | yfinance | $HDFCBANK: possibly delisted; no timezone found
2026-01-04 08:04:26,746 | WARNING | src.core.warmup_manager | Insufficient data for HDFCBANK: 0 days
2026-01-04 08:04:27,538 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ICICIBANK"}}}
2026-01-04 08:04:27,663 | ERROR | yfinance | $ICICIBANK: possibly delisted; no timezone found
2026-01-04 08:04:27,664 | WARNING | src.core.warmup_manager | Insufficient data for ICICIBANK: 0 days
2026-01-04 08:04:28,105 | ERROR | yfinance | $KOTAKBANK: possibly delisted; no timezone found
2026-01-04 08:04:28,105 | WARNING | src.core.warmup_manager | Insufficient data for KOTAKBANK: 0 days
2026-01-04 08:04:28,717 | ERROR | yfinance | $AXISBANK: possibly delisted; no timezone found
2026-01-04 08:04:28,718 | WARNING | src.core.warmup_manager | Insufficient data for AXISBANK: 0 days
2026-01-04 08:04:29,318 | ERROR | yfinance | $SBIN: possibly delisted; no timezone found
2026-01-04 08:04:29,318 | WARNING | src.core.warmup_manager | Insufficient data for SBIN: 0 days
2026-01-04 08:04:29,949 | ERROR | yfinance | $TCS: possibly delisted; no timezone found
2026-01-04 08:04:29,950 | WARNING | src.core.warmup_manager | Insufficient data for TCS: 0 days
2026-01-04 08:04:40,492 | ERROR | yfinance | $HCLTECH: possibly delisted; no timezone found
2026-01-04 08:04:40,493 | WARNING | src.core.warmup_manager | Insufficient data for HCLTECH: 0 days
2026-01-04 08:04:41,011 | ERROR | yfinance | $WIPRO: possibly delisted; no timezone found
2026-01-04 08:04:41,012 | WARNING | src.core.warmup_manager | Insufficient data for WIPRO: 0 days
2026-01-04 08:04:41,416 | ERROR | yfinance | $TECHM: possibly delisted; no timezone found
2026-01-04 08:04:41,416 | WARNING | src.core.warmup_manager | Insufficient data for TECHM: 0 days
2026-01-04 08:04:41,417 | INFO | src.core.warmup_manager | Market data loaded: 1/10 symbols, 40 total data points
2026-01-04 08:04:41,417 | INFO | src.core.warmup_manager |   ✅ Completed: load_market_data (15.87s, 40 data points)
2026-01-04 08:04:41,417 | INFO | src.core.warmup_manager |   🔄 Executing: calculate_indicators
